prod    month   1_sum_quant     2_sum_quant     3_avg_quant
Ham     6       44525   508122  506.16470588235296
Fish    11      49494   494245  510.07894736842104
Apple   11      38227   507132  486.2073170731707
Jelly   10      38347   498131  510.17283950617286
Ham     4       38731   508122  500.2808988764045
Fish    9       44244   494245  532.1935483870968
Dates   7       40638   507758  525.75
Butter  2       39551   520646  496.0833333333333
Jelly   7       42008   498131  495.8536585365854
Cherry  4       49617   493936  511.1029411764706
Apple   12      44735   507132  0
Butter  7       44052   520646  522.5408163265306
Eggs    2       48495   530690  519.8157894736842
Cherry  5       34941   493936  506.09411764705885
Dates   5       40234   507758  483.7857142857143
Dates   6       47037   507758  496.09090909090907
Grapes  9       43257   465786  451.2758620689655
Ham     10      47019   508122  497.61290322580646
Ham     11      47925   508122  481.8358208955224
Grapes  12      42255   465786  0
Grapes  10      44906   465786  521.6666666666666
Ham     8       43024   508122  553.1647058823529
Cherry  6       34755   493936  503.6
Cherry  1       0       493936  443.7415730337079
Fish    12      38153   494245  0
Ham     3       37850   508122  521.6395348837209
Ice     8       45988   478208  547.297619047619
Jelly   11      43658   498131  496.4642857142857
Ice     11      44621   478208  557.9411764705883
Apple   10      40084   507132  514.1954022988506
Eggs    8       37495   530690  461.9684210526316
Apple   3       42842   507132  493.03225806451616
Butter  11      41595   520646  496.6666666666667
Eggs    1       0       530690  452.2
Jelly   12      41324   498131  0
Dates   3       43944   507758  473.3411764705882
Jelly   1       0       498131  496.4938271604938
Grapes  7       29289   465786  514.9642857142857
Eggs    6       41259   530690  474.62025316455697
Ham     1       0       508122  420.55555555555554
Jelly   5       43272   498131  545.5584415584416
Ice     6       43108   478208  516.7191011235955
Ham     12      46278   508122  0
Ham     2       37861   508122  509.61842105263156
Ice     5       43587   478208  451.95588235294116
Cherry  8       45324   493936  504.4146341463415
Butter  10      36582   520646  495.16831683168317
Ice     1       0       478208  557.6363636363636
Dates   4       50579   507758  528.5056179775281
Butter  8       50819   520646  475.09090909090907
Apple   5       45852   507132  492.3673469387755
Fish    8       33175   494245  518.5657894736842
Dates   8       38199   507758  468.22727272727275
Fish    10      39411   494245  529.9027777777778
Ice     9       36476   478208  469.69473684210527
Grapes  6       35772   465786  430.013698630137
Apple   1       0       507132  522.4634146341464
Grapes  5       39129   465786  424.4782608695652
Cherry  12      44469   493936  0
Cherry  3       39493   493936  465.88
Fish    7       35094   494245  491.6
Dates   9       37854   507758  478.6829268292683
Dates   11      39252   507758  474.1808510638298
Grapes  4       44504   465786  476.96
Butter  4       41671   520646  449.1686746987952
Cherry  7       43018   493936  534.9861111111111
Fish    5       41570   494245  523.7910447761194
Ham     7       38258   508122  490.16831683168317
Eggs    10      43887   530690  513.875
Jelly   2       41526   498131  457.703125
Apple   4       45389   507132  479.37142857142857
Eggs    12      45221   530690  0
Butter  3       47401   520646  503.55405405405406
Cherry  2       44055   493936  516.84375
Butter  1       0       520646  483.68367346938777
Eggs    5       43234   530690  510.5853658536585
Grapes  2       43770   465786  523.5764705882353
Ice     7       30733   478208  467.64102564102564
Apple   9       53834   507132  477.8375
Apple   8       38800   507132  477.1904761904762
Eggs    7       41868   530690  546.5730337078652
Fish    3       44162   494245  467.07865168539325
Dates   12      47405   507758  0
Eggs    3       33915   530690  491.29545454545456
Jelly   9       40660   498131  559.7179487179487
Cherry  9       38519   493936  464.56626506024094
Dates   2       36839   507758  481.7047619047619
Eggs    11      46200   530690  496.5301204819277
Ice     12      41047   478208  0
Butter  6       37281   520646  577.4886363636364
Apple   2       35692   507132  493.35869565217394
Jelly   8       42509   498131  518.2027027027027
Grapes  1       0       465786  433.3780487804878
Grapes  3       35537   465786  558.9857142857143
Fish    2       43173   494245  473.5326086956522
Jelly   3       40216   498131  547.746835443038
Eggs    9       48645   530690  476.2886597938144
Ham     5       44861   508122  531.3611111111111
Butter  5       37263   520646  512.2325581395348
Cherry  11      38559   493936  504.1012658227848
Apple   6       33556   507132  546.4788732394367
Grapes  11      39261   465786  489.53333333333336
Ice     2       38750   478208  510.4769230769231
Butter  9       51209   520646  472.67045454545456
Dates   10      41204   507758  571.144578313253
Ice     4       33181   478208  519.3734939759037
Eggs    4       59259   530690  509.3703703703704
Ham     9       49507   508122  538.4831460674158
Jelly   6       53615   498131  494.2906976744186
Butter  12      50012   520646  0
Ice     10      45973   478208  482.90588235294115
Fish    6       43438   494245  480.7971014492754
Jelly   4       29293   498131  530.8415841584158
Grapes  8       31391   465786  472.69473684210527
Cherry  10      41362   493936  562.8987341772151
Ice     3       36804   478208  512.7882352941176
Dates   1       0       507758  542.5185185185185
Fish    4       43565   494245  499.28735632183907
Fish    1       0       494245  496.2022471910112
Apple   7       48252   507132  543.7777777777778
